site_id,site_name,profile_id_a,profile_id_b,profile_name_a,profile_name_b,date_start,date_end,retreat_m_a,retreat_m_b,retreat_rate_m_per_year_a,retreat_rate_m_per_year_b,retreat_abs_m_a,retreat_abs_m_b,has_conflicting_shoreline_duplicates_a,has_conflicting_shoreline_duplicates_b
berezhnovka,Бережновка,berezhnovka_profile_61,berezhnovka_profile_62,ПРОФИЛЬ № 61,ПРОФИЛЬ № 62,1970-07-18,1974-07-13,-13.440000000000026,-16.605865594806687,-3.371538461538468,-4.165722808037873,13.440000000000026,16.605865594806687,False,False
berezhnovka,Бережновка,berezhnovka_profile_61,berezhnovka_profile_62,ПРОФИЛЬ № 61,ПРОФИЛЬ № 62,1974-07-13,1980-11-27,-10.25,-12.654134405193304,-1.6074763847144695,-1.984509485400109,10.25,12.654134405193304,False,False
berezhnovka,Бережновка,berezhnovka_profile_61,berezhnovka_profile_62,ПРОФИЛЬ № 61,ПРОФИЛЬ № 62,1980-11-27,1986-10-26,-15.159999999999968,-22.024134731714184,-2.5647012505789664,-3.7259449795083865,15.159999999999968,22.024134731714184,False,False
berezhnovka,Бережновка,berezhnovka_profile_61,berezhnovka_profile_62,ПРОФИЛЬ № 61,ПРОФИЛЬ № 62,1986-10-26,1991-10-18,-19.920000000000016,-21.66355855669758,-4.002079207920795,-4.352373356894275,19.920000000000016,21.66355855669758,False,False
berezhnovka,Бережновка,berezhnovka_profile_61,berezhnovka_profile_62,ПРОФИЛЬ № 61,ПРОФИЛЬ № 62,1991-10-18,1994-10-21,-0.6299999999999955,-21.70007549145336,-0.2093789808917182,-7.211967764561729,0.6299999999999955,21.70007549145336,False,False
berezhnovka,Бережновка,berezhnovka_profile_61,berezhnovka_profile_62,ПРОФИЛЬ № 61,ПРОФИЛЬ № 62,1994-10-21,2000-07-13,-36.55999999999999,-31.85223122013485,-6.383145315487569,-5.561198591373927,36.55999999999999,31.85223122013485,False,False
berezhnovka,Бережновка,berezhnovka_profile_61,berezhnovka_profile_62,ПРОФИЛЬ № 61,ПРОФИЛЬ № 62,2000-07-13,2001-07-15,-6.5600000000000165,54.76223122013485,-6.528719346049063,54.50110341458925,6.5600000000000165,54.76223122013485,False,False
berezhnovka,Бережновка,berezhnovka_profile_61,berezhnovka_profile_62,ПРОФИЛЬ № 61,ПРОФИЛЬ № 62,2005-10-15,2006-07-22,-3.700000000000003,-4.6054804081609575,-4.826517857142861,-6.00768471100282,3.700000000000003,4.6054804081609575,False,False
berezhnovka,Бережновка,berezhnovka_profile_61,berezhnovka_profile_62,ПРОФИЛЬ № 61,ПРОФИЛЬ № 62,2006-07-22,2006-09-30,-0.3599999999999994,-0.0499999999999829,-1.8784285714285684,-0.2608928571427681,0.3599999999999994,0.0499999999999829,False,False
berezhnovka,Бережновка,berezhnovka_profile_61,berezhnovka_profile_62,ПРОФИЛЬ № 61,ПРОФИЛЬ № 62,2006-09-30,2009-07-20,-15.989999999999997,-28.89000000000001,-5.703464355468748,-10.304758300781256,15.989999999999997,28.89000000000001,False,False
berezhnovka,Бережновка,berezhnovka_profile_61,berezhnovka_profile_62,ПРОФИЛЬ № 61,ПРОФИЛЬ № 62,2009-07-20,2010-07-24,-2.2900000000000027,-2.2700000000000102,-2.2667276422764253,-2.246930894308953,2.2900000000000027,2.2700000000000102,False,False
berezhnovka,Бережновка,berezhnovka_profile_61,berezhnovka_profile_62,ПРОФИЛЬ № 61,ПРОФИЛЬ № 62,2010-07-24,2011-09-14,-0.8900000000000006,-0.6399999999999864,-0.7795503597122306,-0.5605755395683334,0.8900000000000006,0.6399999999999864,False,False
berezhnovka,Бережновка,berezhnovka_profile_61,berezhnovka_profile_62,ПРОФИЛЬ № 61,ПРОФИЛЬ № 62,2011-09-14,2012-10-16,-1.120000000000001,-0.7400000000000091,-1.0278391959799005,-0.6791080402010133,1.120000000000001,0.7400000000000091,False,False
berezhnovka,Бережновка,berezhnovka_profile_61,berezhnovka_profile_62,ПРОФИЛЬ № 61,ПРОФИЛЬ № 62,2012-10-16,2013-07-09,-1.2099999999999973,-6.050000000000011,-1.6614755639097707,-8.307377819548888,1.2099999999999973,6.050000000000011,False,False
berezhnovka,Бережновка,berezhnovka_profile_61,berezhnovka_profile_62,ПРОФИЛЬ № 61,ПРОФИЛЬ № 62,2013-07-09,2016-05-25,-8.150000000000002,-12.049999999999985,-2.8323382492863947,-4.187690294957178,8.150000000000002,12.049999999999985,False,False
berezhnovka,Бережновка,berezhnovka_profile_61,berezhnovka_profile_62,ПРОФИЛЬ № 61,ПРОФИЛЬ № 62,2016-05-25,2019-08-14,-3.59,-3.3500000000000085,-1.1150063775510204,-1.0404655612244924,3.59,3.3500000000000085,False,False
berezhnovka,Бережновка,berezhnovka_profile_61,berezhnovka_profile_62,ПРОФИЛЬ № 61,ПРОФИЛЬ № 62,2019-08-14,2021-07-07,-7.270000000000007,-1.480000000000004,-3.831699134199138,-0.7800432900432922,7.270000000000007,1.480000000000004,False,False
berezhnovka,Бережновка,berezhnovka_profile_61,berezhnovka_profile_62,ПРОФИЛЬ № 61,ПРОФИЛЬ № 62,2021-07-07,2023-10-03,-1.6499999999999917,-1.4299999999999926,-0.7367512224938837,-0.6385177261613658,1.6499999999999917,1.4299999999999926,False,False
burty,Бурты,burty_profile_1,burty_profile_2,ПРОФИЛЬ № 1,ПРОФИЛЬ № 2,1987-06-30,1990-05-28,-0.6899999999999977,-2.4499999999999886,-0.2370860771401685,-0.8418273753527713,0.6899999999999977,2.4499999999999886,False,False
burty,Бурты,burty_profile_1,burty_profile_2,ПРОФИЛЬ № 1,ПРОФИЛЬ № 2,1990-05-28,1995-07-19,-7.780000000000015,-6.75,-1.513123003194891,-1.312799520766773,7.780000000000015,6.75,False,False
burty,Бурты,burty_profile_1,burty_profile_2,ПРОФИЛЬ № 1,ПРОФИЛЬ № 2,1995-07-19,2000-07-15,-4.259999999999991,-4.3700000000000045,-0.8535189248491478,-0.8755581459133305,4.259999999999991,4.3700000000000045,False,False
burty,Бурты,burty_profile_1,burty_profile_2,ПРОФИЛЬ № 1,ПРОФИЛЬ № 2,2000-07-15,2001-07-10,-0.7199999999999989,-3.879999999999996,-0.7304999999999989,-3.936583333333329,0.7199999999999989,3.879999999999996,False,False
