file,site,profile,date_raw,Дата,Год,Пункт,ГП,ИПН_м,ИГП_м,РГП_ПН_м
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___1.xlsx,Ураков_Бугор,_ПРОФИЛЬ___1,2003-07-25,2003-07-25,2003,,1а**,,9.05,
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___1.xlsx,Ураков_Бугор,_ПРОФИЛЬ___1,2004-07-28,2004-07-28,2004,,1а=1а(ниж.),66.05,8.09,57.96
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___1.xlsx,Ураков_Бугор,_ПРОФИЛЬ___1,2005-07-26,2005-07-26,2005,,1а (верх.),66.06,9.03,57.03
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___1.xlsx,Ураков_Бугор,_ПРОФИЛЬ___1,2006-07-23,2006-07-23,2006,,1а (нижн.)*,66.05,8.09,57.96
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___1.xlsx,Ураков_Бугор,_ПРОФИЛЬ___1,2006-09-29,2006-09-29,2006,,1а (нижн.),66.05,8.09,57.96
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___1.xlsx,Ураков_Бугор,_ПРОФИЛЬ___1,2009-07-19,2009-07-19,2009,,1а (верх.),65.96000000000001,8.93,57.03
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___1.xlsx,Ураков_Бугор,_ПРОФИЛЬ___1,2009-09-30,2009-09-30,2009,,1а (нижн.),66.06,8.1,57.96
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___1.xlsx,Ураков_Бугор,_ПРОФИЛЬ___1,2010-07-23,2010-07-23,2010,,1а (нижн.),65.97,8.01,57.96
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___1.xlsx,Ураков_Бугор,_ПРОФИЛЬ___1,2011-09-14,2011-09-14,2011,,1а (верх.),66.03,9.0,57.03
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___1.xlsx,Ураков_Бугор,_ПРОФИЛЬ___1,2012-10-16,2012-10-16,2012,,1а (нижн.),65.93,7.97,57.96
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___1.xlsx,Ураков_Бугор,_ПРОФИЛЬ___1,2013-07-08,2013-07-08,2013,,10,65.84,18.55,47.29
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___1.xlsx,Ураков_Бугор,_ПРОФИЛЬ___1,2014-07-12,2014-07-12,2014,,1а (нижн.),65.84,7.88,57.96
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___1.xlsx,Ураков_Бугор,_ПРОФИЛЬ___1,2015-07-16,2015-07-16,2015,,1а (нижн.),65.85,7.89,57.96
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___1.xlsx,Ураков_Бугор,_ПРОФИЛЬ___1,2016-09-16,2016-09-16,2016,,*,,,
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___1.xlsx,Ураков_Бугор,_ПРОФИЛЬ___1,2016-10-12,2016-10-12,2016,,1а (верх.)*,65.96000000000001,8.93,57.03
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___1.xlsx,Ураков_Бугор,_ПРОФИЛЬ___1,2019-08-14,2019-08-14,2019,,*,,,
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___1.xlsx,Ураков_Бугор,_ПРОФИЛЬ___1,2019-10-09,2019-10-09,2019,,1а (верх.),65.85,8.82,57.03
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___1.xlsx,Ураков_Бугор,_ПРОФИЛЬ___1,2022-08-03,2022-08-03,2022,,1а (нижн.),65.61,7.65,57.96
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___1.xlsx,Ураков_Бугор,_ПРОФИЛЬ___1,2022-10-11,2022-10-11,2022,,1а (нижн.),65.78,7.82,57.96
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___1.xlsx,Ураков_Бугор,_ПРОФИЛЬ___1,2023-10-04,2023-10-04,2023,,1а (нижн.),65.85,7.89,57.96
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___2.xlsx,Ураков_Бугор,_ПРОФИЛЬ___2,1987-06-27,1987-06-27,1987,,2а,59.59,6.1,53.49
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___2.xlsx,Ураков_Бугор,_ПРОФИЛЬ___2,1990-05-23,1990-05-23,1990,,2в,59.37,0.71,58.66
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___2.xlsx,Ураков_Бугор,_ПРОФИЛЬ___2,1995-07-22,1995-07-22,1995,,2в,59.24,0.58,58.66
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___2.xlsx,Ураков_Бугор,_ПРОФИЛЬ___2,1999-07-08,1999-07-08,1999,,2в,59.22000000000001,0.56,58.66
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___2.xlsx,Ураков_Бугор,_ПРОФИЛЬ___2,2000-07-09,2000-07-09,2000,,2а,59.24,5.75,53.49
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___2.xlsx,Ураков_Бугор,_ПРОФИЛЬ___2,2003-07-25,2003-07-25,2003,,2а*,59.14,5.65,53.49
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___2.xlsx,Ураков_Бугор,_ПРОФИЛЬ___2,2004-07-28,2004-07-28,2004,,2а,59.14,5.65,53.49
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___2.xlsx,Ураков_Бугор,_ПРОФИЛЬ___2,2005-07-26,2005-07-26,2005,,2а,59.2,5.71,53.49
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___2.xlsx,Ураков_Бугор,_ПРОФИЛЬ___2,2006-07-23,2006-07-23,2006,,2а,59.23,5.74,53.49
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___2.xlsx,Ураков_Бугор,_ПРОФИЛЬ___2,2006-09-29,2006-09-29,2006,,2а,59.21,5.72,53.49
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___2.xlsx,Ураков_Бугор,_ПРОФИЛЬ___2,2009-07-19,2009-07-19,2009,,2а,58.92,5.43,53.49
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___2.xlsx,Ураков_Бугор,_ПРОФИЛЬ___2,2009-09-30,2009-09-30,2009,,2а,58.74,5.25,53.49
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___2.xlsx,Ураков_Бугор,_ПРОФИЛЬ___2,2010-07-23,2010-07-23,2010,,2а,58.63,5.14,53.49
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___2.xlsx,Ураков_Бугор,_ПРОФИЛЬ___2,2011-09-14,2011-09-14,2011,,2а,58.62,5.13,53.49
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___2.xlsx,Ураков_Бугор,_ПРОФИЛЬ___2,2012-10-16,2012-10-16,2012,,2а,58.6,5.11,53.49
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___2.xlsx,Ураков_Бугор,_ПРОФИЛЬ___2,2013-07-08,2013-07-08,2013,,20,58.51000000000001,14.71,43.8
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___2.xlsx,Ураков_Бугор,_ПРОФИЛЬ___2,2014-07-12,2014-07-12,2014,,2а,58.51000000000001,5.02,53.49
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___2.xlsx,Ураков_Бугор,_ПРОФИЛЬ___2,2015-07-16,2015-07-16,2015,,2а,58.53,5.04,53.49
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___2.xlsx,Ураков_Бугор,_ПРОФИЛЬ___2,2016-09-16,2016-09-16,2016,,2а,58.6,5.11,53.49
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___2.xlsx,Ураков_Бугор,_ПРОФИЛЬ___2,2016-10-12,2016-10-12,2016,,2а,58.59,5.1,53.49
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___2.xlsx,Ураков_Бугор,_ПРОФИЛЬ___2,2019-08-14,2019-08-14,2019,,*,,,
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___2.xlsx,Ураков_Бугор,_ПРОФИЛЬ___2,2019-10-09,2019-10-09,2019,,2а,58.32,4.83,53.49
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___2.xlsx,Ураков_Бугор,_ПРОФИЛЬ___2,2022-08-03,2022-08-03,2022,,2а,58.39,4.9,53.49
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___2.xlsx,Ураков_Бугор,_ПРОФИЛЬ___2,2022-10-11,2022-10-11,2022,,20,58.43,14.63,43.8
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___2.xlsx,Ураков_Бугор,_ПРОФИЛЬ___2,2023-10-04,2023-10-04,2023,,2а,58.03,4.54,53.49
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___3.xlsx,Ураков_Бугор,_ПРОФИЛЬ___3,1987-06-27,1987-06-27,1987,,3а,56.2,6.7,49.5
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___3.xlsx,Ураков_Бугор,_ПРОФИЛЬ___3,1990-05-23,1990-05-23,1990,,3в,55.95,0.42,55.53
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___3.xlsx,Ураков_Бугор,_ПРОФИЛЬ___3,1995-07-22,1995-07-22,1995,,3в,55.75,0.22,55.53
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___3.xlsx,Ураков_Бугор,_ПРОФИЛЬ___3,1997-08-16,1997-08-16,1997,,3в,55.64,0.11,55.53
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___3.xlsx,Ураков_Бугор,_ПРОФИЛЬ___3,2000-07-09,2000-07-09,2000,,3,55.18,55.18,0.0
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___3.xlsx,Ураков_Бугор,_ПРОФИЛЬ___3,2003-07-25,2003-07-25,2003,,3а (нов.)***,55.84,1.7,54.14
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___3.xlsx,Ураков_Бугор,_ПРОФИЛЬ___3,2004-07-28,2004-07-28,2004,,3а (нов.),,1.93,
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___3.xlsx,Ураков_Бугор,_ПРОФИЛЬ___3,2005-07-26,2005-07-26,2005,,3а (нов.),,1.96,
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___3.xlsx,Ураков_Бугор,_ПРОФИЛЬ___3,2006-07-23,2006-07-23,2006,,3а (нов.),,1.91,
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___3.xlsx,Ураков_Бугор,_ПРОФИЛЬ___3,2006-09-29,2006-09-29,2006,,3а (нов.),,1.7,
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___3.xlsx,Ураков_Бугор,_ПРОФИЛЬ___3,2009-07-19,2009-07-19,2009,,31,55.78,4.5,51.28
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___3.xlsx,Ураков_Бугор,_ПРОФИЛЬ___3,2009-09-30,2009-09-30,2009,,31,55.78,4.5,51.28
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___3.xlsx,Ураков_Бугор,_ПРОФИЛЬ___3,2010-07-23,2010-07-23,2010,,31,55.71,4.43,51.28
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___3.xlsx,Ураков_Бугор,_ПРОФИЛЬ___3,2011-09-14,2011-09-14,2011,,33,54.81523804766009,4.43,50.38523804766009
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___3.xlsx,Ураков_Бугор,_ПРОФИЛЬ___3,2012-10-16,2012-10-16,2012,,33,54.75523804766009,4.37,50.38523804766009
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___3.xlsx,Ураков_Бугор,_ПРОФИЛЬ___3,2013-07-08,2013-07-08,2013,,33(?),54.67523804766009,4.29,50.38523804766009
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___3.xlsx,Ураков_Бугор,_ПРОФИЛЬ___3,2014-07-12,2014-07-12,2014,,32(1407),55.16,4.1,51.06
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___3.xlsx,Ураков_Бугор,_ПРОФИЛЬ___3,2015-07-16,2015-07-16,2015,,32(1407),55.23,4.17,51.06
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___3.xlsx,Ураков_Бугор,_ПРОФИЛЬ___3,2016-09-16,2016-09-16,2016,,32(1407),55.31,4.25,51.06
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___3.xlsx,Ураков_Бугор,_ПРОФИЛЬ___3,2016-10-12,2016-10-12,2016,,32(1407),55.36,4.3,51.06
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___3.xlsx,Ураков_Бугор,_ПРОФИЛЬ___3,2019-08-14,2019-08-14,2019,,32(1407),55.21,4.15,51.06
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___3.xlsx,Ураков_Бугор,_ПРОФИЛЬ___3,2019-10-09,2019-10-09,2019,,*,,,
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___3.xlsx,Ураков_Бугор,_ПРОФИЛЬ___3,2022-08-03,2022-08-03,2022,,*,,,
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___3.xlsx,Ураков_Бугор,_ПРОФИЛЬ___3,2022-10-11,2022-10-11,2022,,*,,,
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___3.xlsx,Ураков_Бугор,_ПРОФИЛЬ___3,2023-10-04,2023-10-04,2023,,3,54.44,54.44,0.0
